system:index,B11,B12,B2,B3,B4,B8,DEM,LandCover,NDVI,NDVI_StdDev,SOC,VH,VH_ent,VV,VV_contrast,VV_ent,latitude,longitude,.geo
55,0.2221,0.1502,0.0677,0.0993,0.0928,0.3024,55,40,0.5,0.1568500207806081,32.5,-17.43299679392119,3.6939771265258705,-10.103715616712766,54772.54960317459,3.6939771265258705,10.70005792796865,79.16291151892769,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0.2735,0.1696,0.043,0.0827,0.0876,0.3346,57,10,0.5571284,0.17582624675508085,32.3,-15.230101063561387,3.6939771265258705,-8.62407124181643,72666.73015873013,3.6939771265258705,10.70005792796865,79.16740309534828,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0.2995,0.2154,0.0616,0.1021,0.111,0.3337,57,10,0.49472377,0.16761272691743956,33.3,-16.658720646083705,3.6939771265258705,-9.369954822651621,70973.50446428568,3.6939771265258705,10.70005792796865,79.16964888355858,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0.2258,0.14525,0.05475,0.08715,0.0923,0.39035,56,40,0.488045,0.24698133307160675,33.3,-15.902680384411955,3.6939771265258705,-9.354200150283024,70051.73660714283,3.6939771265258705,10.70005792796865,79.17189467176888,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0.2925,0.2075,0.0529,0.08685,0.10645,0.3442,52,10,0.51018107,0.12611415333214115,31.2,-15.29047290858399,3.6939771265258705,-8.724523477574397,40472.6765873016,3.6867568433950377,10.70005792796865,79.17638624818947,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,0.2818,0.1939,0.0721,0.106,0.1139,0.3157,52,10,0.43471992,0.1404452322698901,30.7,-15.82866671996511,3.6939771265258705,-9.151324129178445,14075.40674603175,3.6867568433950377,10.70005792796865,79.17863203639978,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,0.217,0.1431,0.0621,0.10145,0.09545,0.3123,47,40,0.5081184,0.1732664617586166,32.0,-16.010948882782316,3.6857253743763474,-9.8669945240138,16509.81150793651,3.6867568433950377,10.70005792796865,79.18312361282038,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0.1911,0.1116,0.07385,0.1161,0.10375,0.32985,46,40,0.46271014,0.2113212801859207,33.5,-16.571170530659323,3.6857253743763474,-10.032738355916557,15534.310515873018,3.6867568433950377,10.70005792796865,79.18536940103067,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,0.2178,0.12015,0.0533,0.08985,0.0732,0.32325,46,10,0.6109556,0.16221163836208935,31.9,-16.436804509764734,3.6857253743763474,-9.902512052478746,10854.093253968256,3.6867568433950377,10.70005792796865,79.18761518924097,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0.2224,0.12765,0.05245,0.0912,0.0731,0.3276,47,40,0.6124973,0.17599661849137865,33.4,-15.359877225271582,3.6857253743763474,-9.16675913934284,10330.295634920636,3.6867568433950377,10.70005792796865,79.18986097745127,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0.2115,0.1259,0.07905,0.1083,0.1056,0.30205,43,40,0.42714554,0.16979596605606678,34.2,-16.425809507177835,3.6857253743763474,-9.700058873546212,6267.048611111109,3.6867568433950377,10.70005792796865,79.19435255387187,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,0.1602,0.08605,0.05665,0.08175,0.07485,0.2959,42,40,0.5486417,0.22201973770471745,34.8,-16.232269673545012,3.5186982889735896,-9.26315518968239,3903.6625000000004,3.5100339492165906,10.70005792796865,79.19659834208217,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,0.16855,0.1037,0.0643,0.09535,0.08875,0.2889,42,40,0.53945506,0.22148391444497714,35.0,-17.767695958978106,3.305760236289443,-10.727716836637681,3751.1749999999997,3.2949298115931938,10.70005792796865,79.19884413029247,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,0.23795,0.17495,0.09415,0.1695,0.20335,0.25695,78,10,0.10270015,0.061210776683152036,32.6,-16.313761957188937,3.5773076784568323,-10.659918566586615,25660.121875000004,3.5773076784568323,10.70230371617895,79.00121476778617,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0.3249,0.26105,0.07295,0.1167,0.1501,0.27685,76,20,0.29212046,0.0679368262094441,32.6,-17.13154380140511,3.79024573114098,-11.502492759002447,23190.68083333333,3.79024573114098,10.70230371617895,79.00346055599647,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0.3226,0.2501,0.0659,0.1074,0.13625,0.27725,76,20,0.34671903,0.08687265832875549,31.6,-16.925371604152353,3.96552456869326,-11.53249990764664,20528.75505952381,3.96552456869326,10.70230371617895,79.00570634420677,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0.34475,0.2622,0.0623,0.10225,0.1441,0.2562,76,20,0.2882787,0.07278001741226496,33.1,-18.342089248084484,3.96552456869326,-12.511717977086295,12566.549404761907,3.96552456869326,10.70230371617895,79.00795213241707,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0.3443,0.2691,0.0602,0.1003,0.134,0.26715,77,20,0.32845682,0.09077774202918387,34.0,-17.729265334862646,3.96552456869326,-11.958038380121211,11208.00625,3.96552456869326,10.70230371617895,79.01019792062736,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,0.3318,0.25265,0.0604,0.10285,0.13505,0.27145,76,20,0.32963744,0.09137986809594786,33.8,-17.602043635316427,3.96552456869326,-11.747770092959748,11997.22529761905,3.96552456869326,10.70230371617895,79.01244370883767,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,0.2813,0.18785,0.05215,0.08645,0.09405,0.25595,75,20,0.42976344,0.11730512708079995,33.5,-17.23745600857422,3.96552456869326,-11.279263764641499,11492.511904761908,3.96552456869326,10.70230371617895,79.01468949704797,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0.2902,0.1898,0.05035,0.0805,0.0948,0.2572,76,20,0.4449983,0.1187400548482903,33.4,-15.929132778151704,3.9510840024315943,-10.318287438448904,11375.72886904762,3.96552456869326,10.70230371617895,79.01693528525827,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,0.2959,0.2091,0.04595,0.0829,0.1132,0.27105,74,40,0.38926107,0.11678614662845052,32.4,-17.52555227912891,3.9510840024315943,-10.77173314230454,11157.124702380954,3.96552456869326,10.70230371617895,79.01918107346856,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,0.2668,0.1774,0.04,0.0777,0.088,0.3232,71,40,0.5324798,0.19529876433659699,31.4,-15.888709269371141,3.9510840024315943,-9.315728588239843,17016.984523809526,3.96552456869326,10.70230371617895,79.02367264988916,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0.271,0.1797,0.0462,0.0898,0.0953,0.2952,69,40,0.5143742,0.1901659430811467,31.4,-16.131175133322348,3.9510840024315943,-9.526251459302529,16467.594047619044,3.96552456869326,10.70230371617895,79.02591843809945,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,0.3043,0.2114,0.0546,0.0956,0.1045,0.3279,69,40,0.51530087,0.16024774958346377,31.4,-17.030741136887457,3.96552456869326,-10.743434026556784,20402.664285714283,3.96552456869326,10.70230371617895,79.02816422630976,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,0.30615,0.19675,0.05785,0.09845,0.0904,0.3236,69,40,0.5407921,0.16638293725031014,30.8,-16.17411028284627,3.953146940468975,-10.240868109701093,19439.009821428568,3.96552456869326,10.70230371617895,79.03041001452006,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,0.3029,0.1964,0.057,0.09595,0.09675,0.3048,69,20,0.4849049,0.15338729463536457,30.8,-15.560261253879535,3.953146940468975,-10.315935541055685,18597.029166666664,3.96552456869326,10.70230371617895,79.03265580273036,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,0.3063,0.19695,0.0568,0.0949,0.10205,0.2946,68,20,0.49150598,0.12276324329999813,33.5,-14.903464569481319,3.953146940468975,-9.807974779449378,15810.983333333337,3.96552456869326,10.70230371617895,79.03490159094065,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,0.2836,0.1757,0.0464,0.071,0.0784,0.2913,70,10,0.5526398,0.1908521286316293,33.6,-16.177885994651156,3.953146940468975,-10.388319365629512,14586.332440476188,3.96552456869326,10.70230371617895,79.03939316736125,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,0.3464,0.2592,0.0765,0.1193,0.1493,0.3295,74,10,0.3815099,0.12960587883461902,32.1,-16.126728404337342,3.953146940468975,-10.247001746450405,11260.862202380955,3.96552456869326,10.70230371617895,79.04388474378185,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,0.2792,0.1823,0.0702,0.1126,0.1193,0.309,78,20,0.41424093,0.14707460773839232,32.3,-17.026192023427456,3.96552456869326,-10.963207326544044,15452.570238095239,3.96552456869326,10.70230371617895,79.04837632020245,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,0.3277,0.2525,0.0734,0.1202,0.1535,0.3205,80,20,0.32723224,0.13918363990143556,32.0,-15.66333133037896,3.96552456869326,-9.021881219259566,13479.170535714286,3.9271539211979767,10.70230371617895,79.05062210841274,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,0.3605,0.2623,0.0718,0.1181,0.1583,0.2987,84,20,0.31267217,0.11635907923401773,31.5,-18.210206737606395,3.96552456869326,-12.080735437274404,11680.310714285712,3.9271539211979767,10.70230371617895,79.05286789662304,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,0.35,0.2368,0.0614,0.0937,0.1407,0.2371,91,20,0.2310231,0.07482674550214626,34.1,-18.040602326975705,3.96552456869326,-11.233172480126173,12452.194047619047,3.9271539211979767,10.70230371617895,79.05735947304365,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,0.337,0.2364,0.0699,0.1096,0.1369,0.303,94,20,0.32718652,0.15313223748887622,34.7,-17.182699189619992,3.96552456869326,-10.563645653709127,12190.979166666668,3.9271539211979767,10.70230371617895,79.05960526125394,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,0.468,0.2407,0.1873,0.2773,0.3324,0.4051,94,60,0.11607615,0.03029922504785348,35.5,-20.147804572769815,3.96552456869326,-11.84226074192083,9680.159226190477,3.9473707139643084,10.70230371617895,79.06185104946424,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,0.331,0.2065,0.0729,0.1156,0.1451,0.2866,93,20,0.29740608,0.05491943053601011,34.1,-16.350551327528713,3.96552456869326,-10.148929920222926,9874.832440476192,3.9597483421885933,10.70230371617895,79.06634262588484,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,0.2825,0.1953,0.0621,0.1006,0.1293,0.2724,92,40,0.3462185,0.1009955223907335,33.0,-17.56111670357611,3.96552456869326,-10.142545818785706,9959.538392857143,3.9597483421885933,10.70230371617895,79.06858841409513,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,0.272,0.1949,0.0537,0.0845,0.0986,0.3387,90,40,0.4413598,0.20990666301667454,32.4,-15.856576823645904,3.96552456869326,-9.611434453552512,8836.793154761905,3.9597483421885933,10.70230371617895,79.07083420230543,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,0.294,0.2354,0.0569,0.089,0.1189,0.2889,89,40,0.37568915,0.15423936861989918,34.0,-15.498486622974696,3.96552456869326,-8.66072034702064,5807.989285714285,3.9597483421885933,10.70230371617895,79.07307999051574,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,0.2663,0.1961,0.0663,0.0951,0.1084,0.2947,86,40,0.46800068,0.1636328304172865,34.5,-15.138753565406535,3.96552456869326,-8.442170469144056,8543.715773809523,3.96552456869326,10.70230371617895,79.07532577872604,"{""type"":""MultiPoint"",""coordinates"":[]}"
